模型,准确率,精确率(Macro),召回率(Macro),F1(Macro),AUC(micro)
K近邻 (KNN),0.9111,0.9298,0.9111,0.9095,0.9909
支持向量机 (RBF-SVM),0.9333,0.9345,0.9333,0.9333,0.9953
决策树 (CART),0.9778,0.9792,0.9778,0.9778,0.9951
逻辑回归 (Softmax),0.9111,0.9155,0.9111,0.9107,0.9938
